nconst,actor_name,actor_star_power,actor_movies,actor_avg_budget,actor_avg_revenue,actor_avg_roi,actor_avg_rating,actor_success_rate
nm0000002,Lauren Bacall,1,4,16.42189717909072,16.16345027756386,0.5554116395351159,6.825,0.0
nm0000084,Gong Li,1,5,17.964974435180324,18.092308537730762,0.7925199275577964,6.58,0.0
nm0000090,Armin Mueller-Stahl,1,4,17.969498884648885,18.829858295739278,0.8694405929128916,6.9,0.25
nm0000092,John Cleese,4,15,18.148872033780233,19.3689856575306,1.2259348551510971,6.113333333333333,0.4
nm0000093,Brad Pitt,4,23,18.154221161584598,19.222521405773037,1.4172338890351377,7.1695652173913045,0.7391304347826086
nm0000095,Woody Allen,1,5,16.897420573630875,17.2184476121849,0.9357122860184822,6.5,0.2
nm0000096,Gillian Anderson,1,8,16.674133674893525,17.45731779638988,1.0883646063492698,6.4,0.375
nm0000098,Jennifer Aniston,4,20,17.456380819121357,18.663884975538732,1.3739256714854444,6.220000000000001,0.75
nm0000099,Patricia Arquette,1,5,16.924571561468124,16.933015914117313,1.3321692269553753,5.96,0.2
nm0000100,Rowan Atkinson,3,4,17.697074376526267,19.148737918747162,1.7975569736424344,6.1,1.0
nm0000101,Dan Aykroyd,4,12,17.807576289527496,18.468253239286142,1.1205143663039556,5.683333333333334,0.5
nm0000102,Kevin Bacon,4,14,17.550284856197745,18.051264348932374,0.9820841485353251,6.735714285714286,0.2857142857142857
nm0000103,Fairuza Balk,1,4,16.984408055076166,16.60795002215153,1.2559006216237394,6.625,0.25
nm0000104,Antonio Banderas,4,29,17.756087528178504,18.92280639995811,1.1623306650721636,6.020689655172413,0.4482758620689655
nm0000106,Drew Barrymore,4,17,17.695253435241263,18.293095363080635,1.0552705403194,6.223529411764706,0.35294117647058826
nm0000107,Kim Basinger,1,13,17.177487261139813,17.546373146983207,0.750933962857537,5.876923076923077,0.15384615384615385
nm0000110,Kenneth Branagh,3,7,17.473194182101917,18.019879312549957,1.1107925811846437,6.557142857142857,0.5714285714285714
nm0000111,Matthew Broderick,1,7,18.03080774537197,18.45336725729165,0.9514489005521845,5.885714285714286,0.2857142857142857
nm0000112,Pierce Brosnan,4,17,17.44220169488966,18.495473908618997,1.2764506358424903,6.223529411764706,0.4117647058823529
nm0000113,Sandra Bullock,4,18,17.45965414438061,19.153885169886465,1.7611103755174025,6.4944444444444445,0.6666666666666666
nm0000114,Steve Buscemi,4,23,17.915851614642904,18.863021585734554,1.0650040587121048,6.386956521739131,0.30434782608695654
nm0000115,Nicolas Cage,4,37,17.814068268548837,18.497873123192637,0.967020882188984,6.027027027027027,0.3783783783783784
nm0000117,Neve Campbell,3,5,16.83104550783405,17.832100458216523,1.0972232399420132,6.08,0.6
nm0000120,Jim Carrey,4,20,18.20872439438966,19.05429016589291,1.2734391230597495,6.6,0.65
nm0000123,George Clooney,4,25,17.7786068525806,18.871493584585455,1.466047479619019,6.812,0.64
nm0000124,Jennifer Connelly,4,16,17.726282801515797,18.517543158189973,1.0098139043203742,6.49375,0.3125
nm0000126,Kevin Costner,4,14,17.73323160439342,18.39115517413005,1.1845894339513885,6.5928571428571425,0.5
nm0000128,Russell Crowe,4,19,18.235301898832624,19.09043422483761,1.166780137215334,7.042105263157896,0.3684210526315789
nm0000129,Tom Cruise,4,16,18.502836611176882,19.678157422049484,1.4134036941295334,6.975,0.875
nm0000130,Jamie Lee Curtis,3,6,16.687190239452057,18.071771906070953,1.54240856184032,5.316666666666666,0.6666666666666666
nm0000131,John Cusack,4,24,17.39220070543275,18.200608141714287,0.9966538177793862,6.2875000000000005,0.2916666666666667
nm0000132,Claire Danes,1,7,17.778456227676546,18.408089861853135,0.9435398808015707,6.528571428571429,0.2857142857142857
nm0000134,Robert De Niro,4,31,17.62888881984689,18.521074800628206,1.2581256682156923,6.251612903225807,0.3548387096774194
nm0000136,Johnny Depp,4,28,18.450204881238026,19.493293523955,1.2656477569313067,6.696428571428571,0.5714285714285714
nm0000138,Leonardo DiCaprio,4,15,18.286768337799025,19.51727927102963,1.4657230264395231,7.7266666666666675,0.7333333333333333
nm0000139,Cameron Diaz,4,21,18.15186716888908,19.445066946141104,1.5558774021310098,6.1571428571428575,0.7619047619047619
nm0000140,Michael Douglas,4,17,17.51098588347221,18.338725443438634,1.0175581130940499,6.347058823529412,0.35294117647058826
nm0000141,David Duchovny,1,11,16.84696096236596,17.093084625880223,0.6804171884448144,6.290909090909091,0.18181818181818182
nm0000142,Clint Eastwood,3,5,17.678343340210052,18.752080665247913,1.5620490279391503,7.18,0.4
nm0000144,Cary Elwes,1,8,16.641343853982125,17.60522506356488,1.1742840321397816,5.9625,0.25
nm0000146,Ralph Fiennes,4,18,18.02472014703752,19.496821667108215,1.490834943758046,6.944444444444445,0.8333333333333334
nm0000147,Colin Firth,4,21,17.45847074917521,18.916540475628615,1.7772708097981313,6.690476190476191,0.6666666666666666
nm0000148,Harrison Ford,4,15,18.288291567322144,19.429828256506944,1.115804335519331,6.466666666666667,0.4
nm0000149,Jodie Foster,3,9,17.67740919723789,18.617920861706043,1.1678783795102397,6.733333333333333,0.5555555555555556
nm0000151,Morgan Freeman,4,36,17.8975107390099,18.986052298178574,1.2318097467653313,6.6194444444444445,0.4722222222222222
nm0000152,Richard Gere,4,18,17.163463460263866,17.90195013760752,1.1014287838607106,6.199999999999999,0.4444444444444444
nm0000153,Gina Gershon,1,4,17.384338809199246,17.806555206880375,0.9461353219416979,6.05,0.25
nm0000154,Mel Gibson,4,12,17.79050838133315,18.73607711641239,1.076802457021257,6.4750000000000005,0.3333333333333333
nm0000155,Whoopi Goldberg,1,5,17.182806422433504,17.531888032171928,0.8959116042335807,5.5200000000000005,0.0
nm0000156,Jeff Goldblum,1,9,16.911590850578676,17.84828631839728,0.994463589798078,6.322222222222222,0.4444444444444444
nm0000158,Tom Hanks,4,20,18.35240191390571,19.461914281096195,1.3955650923819503,7.17,0.6
nm0000159,Teri Hatcher,3,6,17.77632374660947,19.005192605311702,1.5018076390143857,6.766666666666667,1.0
nm0000160,Ethan Hawke,4,18,16.589140467147427,17.458676876912357,1.899752230893848,6.827777777777778,0.5
nm0000161,Salma Hayek,4,15,17.58443274282867,18.568785963323908,1.122088019703352,6.046666666666667,0.4666666666666667
nm0000163,Dustin Hoffman,4,15,17.838120415928,19.046031606869196,1.3917598628946362,6.826666666666666,0.5333333333333333
nm0000164,Anthony Hopkins,4,20,18.058777886829922,18.849286208817617,1.1300460473823284,6.435,0.4
nm0000166,Helen Hunt,3,8,17.24545738530108,18.589384187482764,1.4788443287749728,6.5625,0.625
nm0000168,Samuel L. Jackson,4,44,17.979587884955478,19.177946263031835,1.1764624046314498,6.411363636363637,0.4772727272727273
nm0000169,Tommy Lee Jones,4,17,17.903955414824473,18.781221770424498,1.119313701728101,6.670588235294118,0.4117647058823529
nm0000170,Milla Jovovich,4,17,17.168505872787975,18.132873138915816,1.113950293805332,5.858823529411764,0.47058823529411764
nm0000171,Ashley Judd,4,16,17.131966747452516,17.786632451280333,0.9140079348872604,6.1625,0.375
nm0000172,Harvey Keitel,4,12,17.631866675308594,18.573028014328177,0.9793405354780956,6.2,0.4166666666666667
nm0000173,Nicole Kidman,4,30,17.689000634461337,18.313917675176594,1.0138840219346925,6.276666666666667,0.26666666666666666
nm0000174,Val Kilmer,1,17,17.37964347733095,17.17893478938548,0.42122694977595365,5.958823529411765,0.058823529411764705
nm0000177,Kevin Kline,4,12,17.24680600312872,17.93579082702351,1.1288112753659914,6.441666666666666,0.4166666666666667
nm0000178,Diane Lane,4,14,17.974393656948944,19.046614805443387,1.2562532875876598,6.6571428571428575,0.5714285714285714
nm0000179,Jude Law,4,23,17.9652487083538,18.770523341390867,1.1302469183894517,6.878260869565217,0.5217391304347826
nm0000182,Jennifer Lopez,4,15,17.633369415309474,18.365200261832594,1.3007764739470256,5.64,0.5333333333333333
nm0000185,Dolph Lundgren,3,7,17.614204900485415,18.846931860291658,1.6586364979338557,5.557142857142857,0.7142857142857143
nm0000187,Madonna,1,4,17.761935009433422,17.918867052960966,0.6365883656729013,5.075,0.0
nm0000188,Steve Martin,4,13,17.74171641116718,18.5448918696283,1.1855908570615605,5.953846153846154,0.6153846153846154
nm0000190,Matthew McConaughey,4,21,17.6441519761925,18.6134393181146,1.4891297164198112,6.561904761904763,0.5238095238095238
nm0000191,Ewan McGregor,4,32,17.79197444226314,18.651980840773096,1.0710068960976553,6.509375,0.3125
nm0000193,Demi Moore,1,10,16.983093130550188,17.38078016347102,0.8053451978539337,5.99,0.3
nm0000194,Julianne Moore,4,27,17.54152970367947,18.541483699665523,1.2359383711163776,6.537037037037037,0.4444444444444444
nm0000195,Bill Murray,4,23,17.25215904698026,18.175426546130964,1.6086179171237822,6.495652173913044,0.5652173913043478
nm0000196,Mike Myers,4,14,18.24035720179713,19.720096313773276,1.6418734533005894,5.95,0.6428571428571429
nm0000197,Jack Nicholson,3,7,18.032915227680444,18.88758455945018,1.2687634995928723,6.885714285714286,0.7142857142857143
nm0000198,Gary Oldman,4,19,18.511675414321694,19.57449237130808,1.27352889916337,6.836842105263158,0.5789473684210527
nm0000199,Al Pacino,1,14,17.360602148152477,17.95853622058544,0.8256001411831178,6.042857142857143,0.21428571428571427
nm0000200,Bill Paxton,3,9,17.804494623047066,18.508146386173845,1.133482847261211,6.577777777777778,0.5555555555555556
nm0000201,Michelle Pfeiffer,4,11,17.76675429577647,18.357562524738633,0.9698995927233713,6.536363636363637,0.2727272727272727
nm0000202,Ryan Phillippe,1,13,17.006619860850535,17.114087006913334,0.7393392772907396,6.346153846153846,0.23076923076923078
nm0000204,Natalie Portman,4,24,17.683320429620196,18.97108192415731,1.7007783929203575,6.829166666666667,0.5833333333333334
nm0000205,Parker Posey,1,11,17.43407730326826,17.945923337390614,1.1161816720032616,5.954545454545454,0.2727272727272727
nm0000206,Keanu Reeves,4,18,17.838577913416525,18.751172092172315,1.0845085775362617,6.511111111111111,0.4444444444444444
nm0000207,Christina Ricci,1,15,16.945249155095226,16.921395078472784,0.784063186331546,5.753333333333333,0.13333333333333333
nm0000209,Tim Robbins,1,11,17.908338836360368,18.546368866460167,0.9477156520154527,6.4363636363636365,0.18181818181818182
nm0000210,Julia Roberts,4,21,17.728675787948365,18.725802766470032,1.254302349669649,6.29047619047619,0.5238095238095238
nm0000211,Mimi Rogers,1,4,15.80850887940468,16.341800144914785,0.8987671988789219,5.375,0.25
nm0000212,Meg Ryan,1,8,17.352840143041917,17.427494344930157,0.8520116016183559,5.6375,0.125
nm0000213,Winona Ryder,3,12,17.233100653014873,18.40593994779574,1.8538104047370758,6.308333333333334,0.4166666666666667
nm0000215,Susan Sarandon,4,21,17.36334751699053,17.855626399676503,1.0936354848848282,6.2714285714285705,0.2857142857142857
nm0000216,Arnold Schwarzenegger,3,9,18.310369734300934,19.07955115474998,1.0195039975470956,6.077777777777778,0.5555555555555556
nm0000218,Kristin Scott Thomas,4,13,16.587618457896767,17.26647898521172,1.0767326864408657,6.561538461538461,0.46153846153846156
nm0000219,Steven Seagal,1,6,16.60360352827848,17.004741839981975,0.8216179921633058,4.683333333333333,0.3333333333333333
nm0000221,Charlie Sheen,1,6,17.380337391710118,17.754272941716625,0.9214043243765229,4.266666666666667,0.3333333333333333
nm0000223,Elisabeth Shue,3,8,17.068304639701957,18.080528534027582,1.3059418839520287,6.175,0.625
nm0000224,Alicia Silverstone,1,5,17.147715103853763,17.620673381574992,0.6756528857420603,5.24,0.2
nm0000225,Christian Slater,1,11,17.206657637442962,16.621137602207217,0.7244903193919296,5.5636363636363635,0.18181818181818182
nm0000226,Will Smith,4,16,18.46893505981883,19.521825089673335,1.3634139257169964,6.69375,0.6875
nm0000228,Kevin Spacey,4,15,17.522720993308834,18.154967467733467,1.093822505707532,6.72,0.3333333333333333
nm0000230,Sylvester Stallone,4,13,17.911904317863858,18.698574766080856,1.2534225045406524,6.084615384615384,0.6153846153846154
nm0000232,Sharon Stone,1,7,17.465055032682503,17.231512302735034,0.7333310376071369,5.3428571428571425,0.14285714285714285
nm0000234,Charlize Theron,4,21,17.83574716598137,18.615654086250675,1.0440011569071372,6.6380952380952385,0.38095238095238093
nm0000235,Uma Thurman,4,13,16.9832550607518,17.82450681407289,1.282848036505759,6.384615384615385,0.46153846153846156
nm0000236,Jennifer Tilly,1,9,17.50633259348903,18.486563352025257,0.9003541454679966,5.811111111111112,0.4444444444444444
nm0000237,John Travolta,4,14,17.986595693899652,18.4767005283315,0.9374500415648013,5.957142857142857,0.21428571428571427
nm0000239,Liv Tyler,1,9,17.216707972959764,17.72085181682614,1.0503028995616077,6.377777777777777,0.1111111111111111
