nconst,director_name,director_star_power,director_movies,director_avg_budget,director_avg_revenue,director_avg_roi,director_avg_rating,director_success_rate
nm0000095,Woody Allen,2.25,16,16.655319807015655,17.746090742645947,1.5098384476370446,6.7625,0.5625
nm0000108,Luc Besson,0.5,8,17.66618995441665,18.360471046589748,1.1668518250251094,6.2375,0.125
nm0000110,Kenneth Branagh,3.0,4,18.191267592203175,19.45798570776326,1.3216308160915848,6.5,0.75
nm0000123,George Clooney,2.4,5,17.385043282614657,18.092830485423224,1.5231663444711636,6.720000000000001,0.6
nm0000127,Wes Craven,2.4,5,17.3180604640072,18.085940933414122,1.106236900572691,5.64,0.6
nm0000142,Clint Eastwood,2.769230769230769,13,17.665330795130778,18.83933282660785,1.5493685283831282,7.230769230769231,0.6923076923076923
nm0000165,Ron Howard,2.0,10,18.242749547407136,19.26829521778367,1.2480144929055779,7.040000000000001,0.5
nm0000217,Martin Scorsese,2.0,6,18.500723460856673,19.39308097170728,1.2977971539308575,7.8999999999999995,0.5
nm0000229,Steven Spielberg,3.6363636363636362,11,18.327368577788757,19.628196224221256,1.5521759325904978,7.2727272727272725,0.9090909090909091
nm0000230,Sylvester Stallone,4.0,3,17.753850891190314,19.015110879092813,1.6221515785228875,6.833333333333333,1.0
nm0000231,Oliver Stone,0.8,5,18.092454430070035,18.565159949482354,0.9957917101825046,6.1,0.2
nm0000233,Quentin Tarantino,3.0,8,17.71241994588694,19.002420133106753,1.5262490779405768,8.0875,0.75
nm0000247,John Woo,1.6,5,18.3380401755923,19.220344438146935,1.2015453406603174,6.659999999999999,0.4
nm0000255,Ben Affleck,2.6666666666666665,3,17.32705602664604,18.759355645781607,1.5549215974963266,7.6000000000000005,0.6666666666666666
nm0000264,Pedro Almodóvar,3.3333333333333335,6,16.065046535316654,17.61161833105488,1.8920175872424134,7.216666666666666,0.8333333333333334
nm0000265,Robert Altman,2.0,4,16.64577845078778,17.362670178346534,1.1131063762525073,6.2,0.5
nm0000269,Jean-Jacques Annaud,1.0,4,17.825113909871874,18.091481810616607,0.8795280955286072,6.925,0.25
nm0000318,Tim Burton,3.111111111111111,9,18.31408490881139,19.486661699928618,1.3670427266595313,6.822222222222223,0.7777777777777778
nm0000338,Francis Ford Coppola,1.3333333333333333,3,15.852392615660088,14.529361267076512,0.6776107396595676,5.8999999999999995,0.3333333333333333
nm0000343,David Cronenberg,0.0,6,16.993564429978885,17.107818036334287,0.6947131583908606,6.566666666666666,0.0
nm0000361,Brian De Palma,0.0,5,17.50439003707821,17.39128750439112,0.4563995122801029,5.779999999999999,0.0
nm0000382,Atom Egoyan,0.0,4,16.405152603063083,15.400015255115497,0.3004559860361934,6.6,0.0
nm0000386,Roland Emmerich,1.7142857142857142,7,18.46742801603528,19.49513959899224,1.1359990526757047,6.171428571428572,0.42857142857142855
nm0000399,David Fincher,3.3333333333333335,6,18.141848299993427,19.300388200507687,1.538197806497699,7.666666666666667,0.8333333333333334
nm0000416,Terry Gilliam,1.0,4,17.360086551352644,17.57082085102754,0.6258804995818115,6.225,0.25
nm0000425,Peter Greenaway,0.0,3,16.118095750958314,10.647993025371216,0.004201859809659894,6.833333333333333,0.0
